id,raw_budget,raw_revenue,raw
9323,110000000,167918847,2017
9879,50000000,113309743,1996
627,3100000,71558971,1996
602,75000000,817400878,1996
11543,25000000,32223424,1996
9268,100000000,234400000,1996
11228,80000000,158908290,1996
9294,32000000,152036382,1996
49963,1000000,1615787,1996
11363,3500000,13795053,1996
18550,30000000,19892205,1996
3595,70000000,308700000,1996
12123,55000000,60209334,1996
3573,5900000,37831658,1996
10478,45000000,75854588,1996
9303,4500000,7011317,1996
410921,25000000,64594061,1997
11113,17000000,72070955,1964
770,3900000,390525192,1939
62,10500000,68700000,1968
3080,609000,3202000,1935
1585,3180000,9576159,1946
10861,25000000,51702929,1996
1770,25000000,27572844,1996
864,14000000,155056263,1993
11224,2900000,263591415,1950
8367,50000000,390500000,1991
562,28000000,139109346,1988
9591,2500000,34557416,1996
9716,20000000,34600000,1996
10218,200000,6618578,1996
819,44000000,165600852,1996
601,10500000,792965326,1982
2119,60000000,157670733,1990
744,15000000,356800601,1986
1412,1200000,36741667,1989
85,20000000,389925971,1981
68,15000000,9930649,1985
679,17000000,183316455,1986
947,15000000,69995385,1962
28,31500000,81250488,1979
769,25000000,46777347,1990
348,9000000,203630630,1979
766,11000000,21502976,1993
539,20000000,37226218,1998
10705,9000000,10176701,1989
311,30000000,5564014,1984
207,16400000,239500000,1989
33,14400000,159157447,1992
105,19000000,385524862,1985
8009,16000000,12900000,1986
89,48000000,474171806,1989
783,22000000,127767889,1982
639,16000000,92961960,1989
1598,35000000,182291969,1991
6217,134000,8000000,1942
199,46000000,150000000,1996
7863,5500000,36663895,1996
12498,4833610,34175000,1996
9279,60000000,129832389,1996
1573,70000000,239814025,1990
152,35000000,139000000,1979
174,27000000,96900000,1991
172,30000000,70200000,1989
154,12000000,95800000,1982
157,18000000,87000000,1984
168,24000000,133000000,1986
364,80000000,266824291,1992
621,6000000,387513770,1978
578,12000000,470700000,1975
579,20000000,208900376,1978
75,80000000,101371017,1996
9390,50000000,274000000,1996
4232,15000000,173046663,1996
8818,55000000,151947179,1996
9619,115000000,178200000,1997
9366,35000000,65303052,1997
1624,45000000,302710615,1997
76996,250000,743216,1997
9360,45000000,136998907,1997
13982,3000000,4002884,1997
10357,90000000,120100000,1997
816,18000000,67683989,1997
12499,85000000,35681080,1997
1701,80000000,224117573,1997
1639,110000000,150468000,1997
11970,70000000,250700000,1997
