movie_display_name,movie_production_year,movie_odid,movie_financial_summary_production_budget,movie_financial_summary_domestic_box_office,movie_financial_summary_international_box_office,production_date_year,movie_creative_type_display_name,movie_source_display_name,movie_production_method_display_name,movie_genre_display_name,movie_sequel,movie_running_time
Super Babies: Baby Geniuses 2,2004,38630100,20000000,9109322,246047,2004-01-01,Kids Fiction,Original Screenplay,Live Action,Comedy,1,
Babel,2006,16570100,20000000,34302837,97818375,2006-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,143
The Debt,2010,107060100,20000000,31177548,15426506,2010-01-01,Historical Fiction,Remake,Live Action,Thriller/Suspense,0,113
Capitalism: A Love Story,2009,84040100,20000000,14363397,4758134,2009-01-01,Factual,Based on Real Life Events,Live Action,Documentary,0,
Premonition,2007,11600100,20000000,47852604,33608739,2007-01-01,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,97
A Dangerous Method,2011,153580100,20000000,5702083,9105448,2011-01-01,Dramatization,Based on Play,Live Action,Drama,0,99
Texas Chainsaw 3D,2012,163800100,20000000,34341945,13324068,2012-01-01,Contemporary Fiction,Original Screenplay,Live Action,Horror,1,92
12 Rounds,2009,130680100,20000000,12234694,5071954,2009-01-01,Contemporary Fiction,Original Screenplay,Live Action,Action,0,
Reign Over Me,2007,25600100,20000000,19661987,420000,2007-01-01,Historical Fiction,Original Screenplay,Live Action,Drama,0,
Death at a Funeral,2007,39500100,20000000,8580428,38210000,2007-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,
Obsessed,2009,7340100,20000000,68261644,5703069,2009-01-01,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,
Pooh's Heffalump Movie,2005,26970100,20000000,18098433,37588511,2005-01-01,Kids Fiction,Based on Fiction Book/Short Story,Hand Animation,Adventure,0,
The Quiet American,2002,33020100,20000000,12987647,13360556,2002-01-01,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,
Boogeyman,2005,11880100,20000000,46363118,20440477,2005-01-01,Contemporary Fiction,Original Screenplay,Live Action,Horror,0,
Regression,2015,200430100,20000000,55039,14828456,2015-01-01,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,106
You Again,2010,110160100,20000000,25702053,7136892,2010-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,105
She's Out of My League,2010,111280100,20000000,31628317,16670117,2010-01-01,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,
I'm Not There,2007,49050100,20000000,4017609,8380004,2007-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,
Why Did I Get Married Too?,2009,134230100,20000000,60095852,735215,2009-01-01,Contemporary Fiction,Based on Play,Live Action,Drama,1,
12 Years a Slave,2013,189660100,20000000,56671993,124353350,2013-01-01,Historical Fiction,Based on Factual Book/Article,Live Action,Drama,0,133
Alone in the Dark,2005,131050100,20000000,5132655,3000000,2005-01-01,Fantasy,Based on Game,Live Action,Horror,0,
Strange Wilderness,2008,43260100,20000000,6575282,371802,2008-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,86
The Grudge 2,2006,14360100,20000000,39143839,31600000,2006-01-01,Contemporary Fiction,Remake,Live Action,Horror,1,
Pulse,2006,24970100,20500000,20264436,9976999,2006-01-01,Contemporary Fiction,Remake,Live Action,Horror,0,
Freedom Writers,2007,15510100,21000000,36605602,7027007,2007-01-01,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama,0,
Never Back Down,2008,21690100,21000000,24850922,14468879,2008-01-01,Contemporary Fiction,Original Screenplay,Live Action,Action,0,
Silver Linings Playbook,2012,170290100,21000000,132092958,104319495,2012-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,122
Away We Go,2009,38170100,21000000,9451946,656070,2009-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,
Swing Vote,2008,28870100,21000000,16289867,1300000,2008-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,
For Colored Girls,2010,135960100,21000000,37729698,288175,2010-01-01,Contemporary Fiction,Based on Play,Live Action,Drama,0,134
The Beaver,2010,141380100,21000000,970816,4075222,2010-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,91
Death at a Funeral,2010,105280100,21000000,42739347,6237886,2010-01-01,Contemporary Fiction,Remake,Live Action,Comedy,0,92
Tinker Tailor Soldier Spy,2011,145750100,21000000,24149393,57303418,2011-01-01,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,128
Hardball,2001,13880100,21000000,40222729,3505831,2001-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,
The Transporter,2002,21350100,21000000,25296447,18632485,2002-01-01,Contemporary Fiction,Original Screenplay,Live Action,Action,0,
To Rome with Love,2012,171260100,21500000,16684352,57679425,2012-01-01,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,112
Michael Clayton,2007,11300100,21500000,49033882,43953769,2007-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,120
Molière,2007,65350100,21600000,635733,155421,2007-01-01,Dramatization,,Live Action,Comedy,0,
Jay and Silent Bob Strike Back,2001,18790100,22000000,30059386,3703014,2001-01-01,Contemporary Fiction,Spin-Off,Live Action,Comedy,0,104
The Glass House,2001,27110100,22000000,17951431,4910354,2001-01-01,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,120
Hit & Run,2012,176420100,22000000,13749300,3467655,2012-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,95
Deuce Bigalow: European Gigolo,2005,23370100,22000000,22264487,22873310,2005-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,1,
I Am Sam,2001,13870100,22000000,40270895,52271523,2001-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,
Delivery Man,2013,183860100,22000000,30659817,39877053,2013-01-01,Contemporary Fiction,Remake,Live Action,Comedy,0,105
Traitor,2008,22510100,22000000,23530831,4351395,2008-01-01,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,
"Hail, Caesar!",2015,218060100,22000000,30080225,32738712,2015-01-01,Historical Fiction,Original Screenplay,Live Action,Comedy,0,100
Homefront,2013,193470100,22000000,20158492,31536870,2013-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action,0,100
Stone,2010,140080100,22000000,1810078,2254942,2010-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,105
Saving Silverman,2001,25870100,22000000,19351569,6521573,2001-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,
The Informant!,2009,31470100,22000000,33316821,8454347,2009-01-01,Contemporary Fiction,Based on Factual Book/Article,Live Action,Thriller/Suspense,0,
Mad Money,2008,24670100,22000000,20668843,4375214,2008-01-01,Contemporary Fiction,Remake,Live Action,Comedy,0,
Before I Go to Sleep,2013,198630100,22000000,3242457,16321122,2013-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,92
Derailed,2005,15740100,22000000,36020063,21500000,2005-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action,0,
Out of the Furnace,2013,179520100,22000000,11330849,4103526,2013-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,115
The Rookie,2002,6350100,22000000,75600072,4891444,2002-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,
Diary of a Wimpy Kid: Dog Days,2012,165990100,22000000,49008662,28221033,2012-01-01,Kids Fiction,Based on Fiction Book/Short Story,Live Action,Comedy,1,94
