id,raw_budget,raw_revenue
402,"$49,000,000","$235,000,000"
601,"$10,500,000","$792,910,554"
2119,"$60,000,000","$83,200,000"
744,"$15,000,000","$356,830,601"
2756,"$70,000,000","$90,000,098"
26174,"$450,000","$2,500,000"
409,"$27,000,000","$231,976,425"
10174,"$4,500,000","$29,012,935"
1891,"$18,000,000","$538,375,067"
85,"$18,000,000","$384,140,454"
679,"$18,500,000","$45,900,000"
947,"$15,000,000","$70,000,000"
1892,"$32,500,000","$572,705,079"
348,"$11,000,000","$185,000,000"
766,"$11,000,000","$21,502,976"
539,"$806,947","$50,000,000"
525,"$27,000,000","$115,229,890"
387,"$14,000,000","$73,482,661"
218,"$6,400,000","$78,371,200"
207,"$16,400,000","$235,900,000"
37247,"$3,000,000","$100,000,000"
829,"$6,000,000","$30,000,000"
33,"$14,400,000","$159,157,447"
105,"$19,000,000","$350,600,000"
1633,"$11,000,000","$119,418,501"
8009,"$16,000,000","$12,885,193"
903,"$3,200,000","$16,217,773"
914,"$2,000,000","$11,000,000"
288,"$730,000","$18,000,000"
665,"$15,900,000","$196,200,000"
89,"$48,000,000","$474,171,806"
783,"$22,000,000","$127,767,889"
830,"$1,900,000","$3,250,000"
8077,"$50,000,000","$104,300,000"
814,"$10,000,000","$60,565,292"
6114,"$40,000,000","$215,862,692"
1598,"$35,000,000","$182,300,000"
25189,"$42,000,000","$73,052,428"
199,"$45,000,000","$150,000,000"
9279,"$60,000,000","$129,832,389"
11674,"$75,000,000","$320,689,294"
1573,"$70,000,000","$240,031,094"
152,"$35,000,000","$139,000,000"
174,"$30,000,000","$96,888,996"
172,"$27,800,000","$70,210,000"
154,"$11,200,000","$97,000,000"
157,"$17,000,000","$87,000,000"
168,"$25,000,000","$133,000,000"
364,"$80,000,000","$120,000,000"
621,"$6,000,000","$394,955,690"
10173,"$12,000,000","$11,924,540"
8845,"$35,000,000","$73,000,000"
578,"$8,000,000","$470,653,000"
579,"$20,000,000","$106,000,000"
17692,"$20,500,000","$87,987,055"
75,"$70,000,000","$101,371,017"
9390,"$50,000,000","$273,552,592"
378,"$6,000,000","$29,180,280"
2322,"$35,000,000","$105,233,000"
4232,"$14,000,000","$173,046,663"
8818,"$55,000,000","$141,047,179"
12145,"$25,000,000","$40,381,260"
9619,"$116,000,000","$178,127,760"
9366,"$35,000,000","$124,909,762"
10003,"$68,000,000","$169,500,000"
1624,"$45,000,000","$302,710,615"
4477,"$86,000,000","$81,500,000"
9405,"$30,000,000","$48,138,337"
9360,"$45,000,000","$136,885,767"
77223,"$16,000,000","$960,000"
10357,"$90,000,000","$72,600,000"
816,"$17,000,000","$67,683,989"
12499,"$85,000,000","$7,000,000"
18,"$93,000,000","$263,920,180"
330,"$73,000,000","$382,000,000"
1701,"$75,000,000","$114,000,000"
1639,"$160,000,000","$102,400,000"
415,"$125,000,000","$130,000,000"
11970,"$85,000,000","$252,712,101"
8874,"$46,000,000","$148,200,000"
754,"$80,000,000","$128,000,000"
607,"$90,000,000","$326,600,000"
686,"$90,000,000","$171,120,329"
4421,"$50,000,000","$49,000,000"
9387,"$20,000,000","$68,851,475"
10603,"$55,000,000","$69,000,000"
2142,"$10,000,000","$18,800,000"
8413,"$60,000,000","$20,400,000"
10336,"$40,000,000","$15,000,000"
9413,"$10,000,000","$2,900,000"
8834,"$75,000,000","$57,000,000"
9772,"$85,000,000","$130,000,000"
1669,"$30,000,000","$200,512,643"
