id,budget,revenue
218,6400000,78371200
207,16400000,235900000
37247,3000000,100000000
829,6000000,30000000
33,14400000,159157447
105,19000000,350600000
1633,11000000,119418501
8009,16000000,12885193
903,3200000,16217773
914,2000000,11000000
288,730000,18000000
665,15900000,196200000
89,48000000,474171806
783,22000000,127767889
830,1900000,3250000
8077,50000000,104300000
814,10000000,60565292
6114,40000000,215862692
1598,35000000,182300000
25189,42000000,73052428
199,45000000,150000000
9279,60000000,129832389
11674,75000000,320689294
1573,70000000,240031094
152,35000000,139000000
174,30000000,96888996
172,27800000,70210000
154,11200000,97000000
157,17000000,87000000
168,25000000,133000000
364,80000000,120000000
621,6000000,394955690
10173,12000000,11924540
8845,35000000,73000000
578,8000000,470653000
579,20000000,106000000
17692,20500000,87987055
75,70000000,101371017
9390,50000000,273552592
378,6000000,29180280
2322,35000000,105233000
4232,14000000,173046663
8818,55000000,141047179
12145,25000000,40381260
9619,116000000,178127760
9366,35000000,124909762
10003,68000000,169500000
1624,45000000,302710615
4477,86000000,81500000
9405,30000000,48138337
9360,45000000,136885767
77223,16000000,960000
10357,90000000,72600000
816,17000000,67683989
12499,85000000,7000000
18,93000000,263920180
330,73000000,382000000
1701,75000000,114000000
1639,160000000,102400000
415,125000000,130000000
11970,85000000,252712101
8874,46000000,148200000
754,80000000,128000000
607,90000000,326600000
686,90000000,171120329
4421,50000000,49000000
9387,20000000,68851475
10603,55000000,69000000
2142,10000000,18800000
8413,60000000,20400000
10336,40000000,15000000
9413,10000000,2900000
8834,75000000,57000000
9772,85000000,130000000
1669,30000000,200512643
10806,35000000,19400000
6623,50000000,60600000
2118,35000000,46000000
978,70000000,93500000
9437,27000000,24500000
2649,50000000,61100000
14289,60000000,4000000
9427,3500000,198100000
3597,17000000,20300000
1813,57000000,92000000
782,36000000,3600000
8067,12000000,4700000
1281,22000000,182700000
12616,24000000,5600000
4995,15000000,9400000
563,105000000,65000000
9823,30000000,51376861
37165,60000000,113400000
9407,48000000,612335
4824,60000000,84000000
9444,50000000,64900000
8078,75000000,105300000
11831,36000000,16200000
9574,80000000,85000000
489,10000000,76200000
9714,32000000,17700000
6283,38000000,50000000
4233,24000000,59200000
597,200000000,2186772302
714,110000000,333011068
547,60000000,68300000
184,12000000,33000000
9438,30000000,7500000
115,15000000,10300000
9410,25000000,55494066
586,15000000,64217092
2666,27000000,27200316
11258,70000000,2600000
6116,25000000,26700000
11702,30000000,12200000
11568,28000000,26000000
11003,18000000,43061262
10153,80000000,13100000
2898,50000000,132700000
11808,60000000,31000000
9313,35000000,16700000
9440,65000000,52055057
2157,80000000,136159423
8838,60000000,49300000
795,55000000,101700000
9449,29000000,24000000
8656,75000000,180500000
18937,40000000,15400000
929,130000000,221600000
9715,30000000,6800000
1965,60000000,32000000
6068,70000000,90500000
10674,90000000,116300000
846,66000000,99700000
3050,71500000,117000000
1389,48000000,9100000
95,140000000,553709788
944,140000000,138400000
11551,40000000,16600000
544,23000000,140500000
65203,379000,1558000
33680,700000,1359000
56164,1180280,8000000
12311,1950000,11351454
27367,1344000,21173600
887,2100000,44309982
5769,1000000,50000000
17917,10000000,40000000
3116,3600000,8000000
1366,960000,225000000
606,31000000,266185197
380,25000000,354825435
403,7500000,145793296
466,2500000,12512637
13820,1500000,3750080
2108,1000000,51525171
4488,550000,59754601
948,300000,60000000
11281,2500000,25533818
10585,9000000,44196684
11186,13000000,7262000
11187,13000000,5600000
609,10700000,123606280
9552,12000000,357500000
941,15000000,120207127
942,28000000,227853986
943,35000000,319700000
9342,65000000,101300000
165,40000000,213500000
196,40000000,243700000
242,54000000,136766062
9835,10000000,30182538
857,70000000,481840909
11158,40000000,76000000
9354,18000000,222724172
9631,50000000,4400000
9325,4000000,205800000
10144,40000000,211343479
12230,4000000,215880014
11335,20000000,60000000
11135,30000000,47431461
41841,32000000,11000000
87,28000000,333107271
2907,30000000,191502426
9454,26000000,98005666
8688,73000000,48306020
23954,7200000,12729678
396,7500000,40000000
11814,7500000,38934048
8393,5000000,60000000
9320,60000000,25200000
34584,27000000,100000000
36647,45000000,42600000
573,2000000,16000000
117,25000000,106240936
37498,35000000,44000000
12626,20000000,67331309
3525,28000000,103173635
10699,42000000,66807345
881,40000000,243240178
4478,38000000,160000000
2109,33000000,244386864
8195,55000000,70697479
9877,14000000,72527595
10403,8000000,28876701
162,20000000,86024005
8916,105000000,61700000
12159,85000000,71485043
10377,11000000,64088552
11932,25000000,50671850
6435,48000000,68169816
2657,40000000,49789066
637,20000000,229163264
73,7500000,23875127
9882,70000000,116672912
10663,20000000,28700000
4518,30000000,34000000
3600,24000000,84002112
297,90000000,142940100
9798,90000000,250649836
14444,24000000,140894675
9487,120000000,363398565
10162,3000000,43515982
692,10000,1250000
1678,175000,4662520
39256,2000000,14852242
10730,24000000,90614445
9749,8000000,59612888
14628,8000000,39450960
10466,10000000,54999651
707,30000000,152627960
9447,80000000,50812000
11252,60000000,37141130
9745,85000000,68760009
200,58000000,119000000
9837,70000000,117200000
1934,25000000,289317794
1369,44000000,300400432
1368,15000000,125212904
1370,63000000,135300000
10303,25000000,96773200
9326,10000000,115078260
10328,17500000,85313124
11285,17500000,25024919
1367,7000000,200182160
1371,17000000,270000000
1374,30000000,300400000
1375,42000000,79000000
9489,65000000,250821495
8741,52000000,98126565
10312,90000000,202292902
9441,50000000,159710793
