n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,bootstrap,criterion,result
20,,3,10,3,True,gini,0.77870891597
10,,3,2,10,True,gini,0.672895672869
15,,3,2,10,True,gini,0.766385440348
20,,3,2,10,True,gini,0.714070908897
10,,3,3,10,True,gini,0.70665246572
15,,3,3,10,True,gini,0.725945337905
20,,3,3,10,True,gini,0.747937634294
10,,3,5,10,True,gini,0.73199999034
15,,3,5,10,True,gini,0.723645008609
20,,3,5,10,True,gini,0.721768189307
10,,3,10,10,True,gini,0.712593523175
15,,3,10,10,True,gini,0.722914820604
20,,3,10,10,True,gini,0.741048614405
10,,10,2,1,True,gini,0.869287416684
15,,10,2,1,True,gini,0.894554329893
20,,10,2,1,True,gini,0.892523768151
10,,10,3,1,True,gini,0.874201243749
15,,10,3,1,True,gini,0.888888417213
20,,10,3,1,True,gini,0.891936909149
10,,10,5,1,True,gini,0.870564251059
15,,10,5,1,True,gini,0.885635873115
20,,10,5,1,True,gini,0.879955033626
10,,10,10,1,True,gini,0.855778392556
15,,10,10,1,True,gini,0.859607044712
20,,10,10,1,True,gini,0.867298368664
10,,10,2,3,True,gini,0.82229990697
15,,10,2,3,True,gini,0.837852182667
20,,10,2,3,True,gini,0.836004720668
10,,10,3,3,True,gini,0.826681049018
15,,10,3,3,True,gini,0.841505238131
20,,10,3,3,True,gini,0.842861185474
10,,10,5,3,True,gini,0.831348981483
15,,10,5,3,True,gini,0.832288662223
20,,10,5,3,True,gini,0.840294142483
10,,10,10,3,True,gini,0.81754448495
15,,10,10,3,True,gini,0.83729300144
20,,10,10,3,True,gini,0.840421909368
10,,10,2,10,True,gini,0.785997549583
15,,10,2,10,True,gini,0.799242092242
20,,10,2,10,True,gini,0.8131020354
10,,10,3,10,True,gini,0.802327894652
15,,10,3,10,True,gini,0.806506361825
20,,10,3,10,True,gini,0.821502873599
10,,10,5,10,True,gini,0.803239076746
15,,10,5,10,True,gini,0.80152641805
20,,10,5,10,True,gini,0.809265439926
10,,10,10,10,True,gini,0.808795781789
15,,10,10,10,True,gini,0.805388788999
20,,10,10,10,True,gini,0.802181285943
10,,15,2,1,True,gini,0.876254160915
15,,15,2,1,True,gini,0.900340813669
20,,15,2,1,True,gini,0.891421447471
10,,15,3,1,True,gini,0.879479472446
15,,15,3,1,True,gini,0.897212512994
20,,15,3,1,True,gini,0.901392627345
10,,15,5,1,True,gini,0.879471726023
15,,15,5,1,True,gini,0.885142066115
20,,15,5,1,True,gini,0.892989420817
10,,15,10,1,True,gini,0.861075036501
15,,15,10,1,True,gini,0.871367454321
20,,15,10,1,True,gini,0.87920972194
10,,15,2,3,True,gini,0.843515772792
15,,15,2,3,True,gini,0.853956717477
20,,15,2,3,True,gini,0.851765896898
10,,15,3,3,True,gini,0.842311735297
15,,15,3,3,True,gini,0.849856353836
20,,15,3,3,True,gini,0.856912211119
10,,15,5,3,True,gini,0.85038985863
15,,15,5,3,True,gini,0.842364976191
20,,15,5,3,True,gini,0.852909940624
10,,15,10,3,True,gini,0.839767198505
15,,15,10,3,True,gini,0.853232510967
20,,15,10,3,True,gini,0.854297781104
10,,15,2,10,True,gini,0.816294750504
15,,15,2,10,True,gini,0.824235105919
20,,15,2,10,True,gini,0.824172365684
10,,15,3,10,True,gini,0.818424193303
15,,15,3,10,True,gini,0.828210421404
20,,15,3,10,True,gini,0.821347305837
10,,15,5,10,True,gini,0.816054084854
15,,15,5,10,True,gini,0.823016386357
20,,15,5,10,True,gini,0.822558377023
10,,15,10,10,True,gini,0.816916706919
15,,15,10,10,True,gini,0.81772102808
20,,15,10,10,True,gini,0.827802328661
10,,20,2,1,True,gini,0.873140151312
15,,20,2,1,True,gini,0.898778282455
20,,20,2,1,True,gini,0.896718121773
10,,20,3,1,True,gini,0.885208173271
15,,20,3,1,True,gini,0.902423575836
20,,20,3,1,True,gini,0.909215662271
10,,20,5,1,True,gini,0.879452389307
15,,20,5,1,True,gini,0.889882605137
20,,20,5,1,True,gini,0.896595982071
10,,20,10,1,True,gini,0.868750587685
15,,20,10,1,True,gini,0.871337185606
20,,20,10,1,True,gini,0.875559157236
10,,20,2,3,True,gini,0.854920520835
15,,20,2,3,True,gini,0.857639086441
20,,20,2,3,True,gini,0.860771086801
10,,20,3,3,True,gini,0.85300975954
15,,20,3,3,True,gini,0.860698198006
20,,20,3,3,True,gini,0.870145870003
10,,20,5,3,True,gini,0.842527609317
15,,20,5,3,True,gini,0.857989099064
20,,20,5,3,True,gini,0.852894700974
10,,20,10,3,True,gini,0.850783047317
15,,20,10,3,True,gini,0.846052333378
20,,20,10,3,True,gini,0.849756609899
10,,20,2,10,True,gini,0.826469438318
15,,20,2,10,True,gini,0.828037092188
20,,20,2,10,True,gini,0.828671904711
10,,20,3,10,True,gini,0.826373592912
15,,20,3,10,True,gini,0.829549240864
20,,20,3,10,True,gini,0.830751726234
10,,20,5,10,True,gini,0.831416065015
15,,20,5,10,True,gini,0.825588995297
20,,20,5,10,True,gini,0.829682881048
10,,20,10,10,True,gini,0.826393672401
15,,20,10,10,True,gini,0.82717553444
20,,20,10,10,True,gini,0.828509437797
10,3,1,2,1,True,entropy,0.617370754972
15,3,1,2,1,True,entropy,0.630690227387
20,3,1,2,1,True,entropy,0.658588981641
10,3,1,3,1,True,entropy,0.559818785978
15,3,1,3,1,True,entropy,0.685695755373
20,3,1,3,1,True,entropy,0.688018064417
10,3,1,5,1,True,entropy,0.649818585186
15,3,1,5,1,True,entropy,0.693241256598
20,3,1,5,1,True,entropy,0.659473558662
10,3,1,10,1,True,entropy,0.675821611167
15,3,1,10,1,True,entropy,0.613541105807
20,3,1,10,1,True,entropy,0.724137376469
10,3,1,2,3,True,entropy,0.594502224816
15,3,1,2,3,True,entropy,0.666473326622
20,3,1,2,3,True,entropy,0.676076019744
10,3,1,3,3,True,entropy,0.619151857534
15,3,1,3,3,True,entropy,0.683266230427
20,3,1,3,3,True,entropy,0.647850432302
